year,acs_source,n_matched,acs_mean,bps_mean,bootstrap_p50_mean,acs_bps_pearson_r,acs_bps_spearman_r,acs_bps_logpearson_r,acs_bps_mean_ratio,acs_boot_pearson_r,acs_boot_spearman_r,acs_boot_logpearson_r,acs_boot_mean_ratio
2010,direct,8057,1682.1,406.7,1380.2,0.0081,-0.0727,-0.0562,0.2418,0.1929,0.1059,0.1066,0.8205
2011,direct,8057,1691.8,408.9,1383.8,0.0088,-0.0722,-0.0541,0.2417,0.2037,0.1077,0.107,0.8179
2012,direct,8056,1696.3,412.0,1387.6,0.01,-0.0698,-0.0471,0.2429,0.2123,0.109,0.1179,0.818
2013,direct,8056,1703.7,416.2,1392.4,0.0126,-0.0676,-0.0407,0.2443,0.2174,0.1104,0.1219,0.8173
2014,direct,8056,1710.5,420.8,1397.6,0.0151,-0.0649,-0.0359,0.246,0.2235,0.1113,0.1223,0.817
2015,direct,8056,1718.5,426.1,1404.1,0.0179,-0.0611,-0.0302,0.2479,0.2287,0.1116,0.1249,0.8171
2016,direct,8056,1726.7,432.1,1411.2,0.022,-0.0576,-0.0265,0.2503,0.236,0.1126,0.1233,0.8173
2017,direct,8056,1737.2,438.5,1416.9,0.0259,-0.0552,-0.0219,0.2524,0.2411,0.1116,0.1233,0.8156
2018,direct,8056,1748.1,444.0,1422.9,0.0305,-0.0559,-0.0199,0.254,0.2472,0.1095,0.1254,0.814
2019,direct,8056,1759.5,451.1,1430.7,0.0349,-0.0535,-0.0158,0.2564,0.2541,0.1073,0.1253,0.8131
2020,direct,6880,1605.1,439.5,1324.9,0.0207,-0.0533,-0.0167,0.2738,0.131,0.0739,0.0862,0.8254
2021,crosswalk,8039,1782.4,465.9,1446.5,0.0465,-0.0491,-0.0023,0.2614,0.2635,0.1037,0.0999,0.8116
2022,crosswalk,8039,1794.3,474.1,1455.0,0.053,-0.0478,-0.0053,0.2642,0.2676,0.1017,0.0927,0.8109
2023,crosswalk,8039,1807.8,481.8,1462.8,0.059,-0.045,0.0028,0.2665,0.2713,0.1004,0.0999,0.8092
2024,forward-fill,8039,1807.8,489.6,1470.8,0.0664,-0.0422,0.0062,0.2709,0.2715,0.1005,0.0999,0.8136
